name,imageUrl,area,profileUrl,office,tags,isLoggedUser,positionName,id,parentId,size,,,,,,,,,,,
OKU Kazuto,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/i.7Lc5205Si4/v2/140x140.jpg,Norinchukin Bank,http://example.com/employee/profile,Executive,"Ceo,tag1,manager,cto",true,"Representative Director and President, Chief Executive Officer",1,,,,,,,,,,,,,
YAGI Masanobu,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRQxaMosabnGI83vqXVg3y2EDDNpCreQ9d3zQ&s,Norinchukin Bank,http://example.com/employee/profile,Executive Officer,"Ceo,tag1, tag2",true,"Representative Director and Managing Executive Officer, Member of the Board of Directors, Chief Operating Officer",2,1,,,,,,,,,,,,
KITABAYASHI Taro,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRJ6eMyMnX0lJi_q9C4tqpJtsNa6oKVjipbeA&s,Norinchukin Bank,http://example.com/employee/profile,Executive Officer,"Ceo,tag1,manager,cto",true,"Representative Director and Managing Executive Officer, Member of the Board of Directors, Chief Financial Officer / Co-Chief Sustainability Officer",3,1,,,,,,,,,,,,
TSUCHIDA Tomoko,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fagfundernews.com%2Fwp-content%2Fuploads%2F2022%2F05%2F20220603_114021.jpg&f=1&nofb=1&ipt=a6d379f1fea0203645bb11ed63c86131441cf1378efc1301fcc8c62cfc7d4a09&ipo=images,Norinchukin Bank,http://example.com/employee/profile,Executive Officer,"Ceo,tag1, tag2",true,"Managing Executive Officer, Co-Head of Food, Agribusiness and Corporate Banking, Co-Chief Sustainability Officer",4,1,,,,,,,,,,,,
OZAKI Taro,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcROOnO0Uv_vAikcrbZ5JwnqWVp-WfX8ovUQSg&s,Norinchukin Bank,http://example.com/employee/profile,Executive Officer,"Ceo,tag1,manager,cto",true,"Managing Executive Officer, Co-Head of Food, Agribusiness and Corporate Banking",5,1,,,,,,,,,,,,
IMAI Masato,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSHDSQNmU0TkZjHK1oCUxh87SZALRZixubTSg&s,Norinchukin Bank,http://example.com/employee/profile,Executive Officer,"Ceo,tag1, tag2",true,"Director and Managing Executive Officer, Member of the Board of Directors, Co-Chief Investment Officer, Head of Global Banking",6,1,,,,,,,,,,,,
YAMADA Yukihiro,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTZP7gc_ZXa-KKugnnFGxfjpN24d6bpLNpkGA&s,Norinchukin Bank,http://example.com/employee/profile,Executive Officer,"Ceo,tag1,manager,cto",true,"Managing Executive Officer, Co-Chief Investment Officer",7,1,,,,,,,,,,,,
NAGANO Masaki,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqCq8LGsitew6_8AZc_eY40iSMh8xNwa4Kvg&s,Norinchukin Bank,http://example.com/employee/profile,Executive Officer,"Ceo,tag1, tag2",true,"Managing Executive Officer, Treasurer, Global Head of ALM and Investor Relations",8,1,,,,,,,,,,,,
AKIYOSHI Ryo,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQKYbNMQe5WFKI7m3du_pLxHqspgl9WcFNVZg&s,Norinchukin Bank,http://example.com/employee/profile,Executive Officer,"Ceo,tag1,manager,cto",true,"Director and Managing Executive Officer, Member of the Board of Directors, Co-Head of JA and JF Business Support",9,1,,,,,,,,,,,,
TAKII Kazutaka,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fwww.nochubank-saiyo.com%2Frecruit%2Fassets%2Fimg%2Fpeople%2Fkoike_k%2Fkoike_k_cutin03.jpg&f=1&nofb=1&ipt=a6eb2e0ca0d2f76b1428638839cbd17e23ae9ac22b17d6a6fea2b654ba9d8e79&ipo=images,Norinchukin Bank,http://example.com/employee/profile,Executive Officer,"Ceo,tag1, tag2",true,"Managing Executive Officer, Co-Head of JA and JF Business Support",10,1,,,,,,,,,,,,
